"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","test_simulator_run_group_positions_unique","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","145","test_dashboard_champion_is_final_winner","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","375","test_simulator_run_exact_32_teams_no_players","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","4","test_create_team","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","11","test_team_abm_get_with_players","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","275","test_simulator_run_group_stage_structure","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","4","test_player_abm_delete_nonexistent","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","150","test_simulator_run_teams_assigned_groups","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","4505","test_frontend_main_simulation_flow[chromium]","tests","2026-06-11","passed","2026-06-11","","test_frontend_smoke","",""
"","9","test_player_abm_update_invalid_team","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","3","test_team_abm_empty_list","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","228","test_dashboard_all_metrics_positive","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","3","test_team_abm_delete_nonexistent","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","18","test_delete_player","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","7","test_player_abm_invalid_position","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","7","test_team_abm_code_unique","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","231","test_simulator_run_exact_match_counts","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","182","test_dashboard_top_scorer_exists_in_db","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","186","test_dashboard_avg_goals_positive","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","136","test_dashboard_champion_consistency","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","164","test_simulator_run_generates_32_teams","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","5","test_player_abm_list_by_nonexistent_team","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","198","test_simulator_run_champion_is_final_winner","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","11","test_list_teams","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","248","test_dashboard_total_matches_is_64","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","2","test_get_team_not_found","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","8","test_create_team_duplicate_code","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","248","test_simulator_run_response_structure","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","12","test_player_abm_update_invalid_position","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","149","test_simulator_run_standings_goal_diffs_correct","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","4","test_create_player_team_not_found","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","191","test_dashboard_avg_goals_formula","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","136","test_dashboard_response_structure","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","4","test_team_abm_update_nonexistent","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","253","test_simulator_run_reuses_existing_32_teams","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","145","test_simulator_run_match_scores_in_range","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","5","test_get_player_not_found","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","20","test_get_player","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","158","test_simulator_run_knockout_no_draws","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","11","test_team_abm_update_duplicate_code","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","3","test_player_abm_empty_list","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","145","test_simulator_run_all_match_teams_exist_in_db","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","215","test_simulator_run_knockout_winner_consistency","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","4","test_player_abm_update_nonexistent","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","143","test_simulator_run_qualified_teams_unique","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","8","test_update_team","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","224","test_dashboard_totals_consistent_with_last_simulation","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","144","test_simulator_run_standings_points_valid","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","223","test_dashboard_total_goals_positive","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","192","test_simulator_run_multiple_runs","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","15","test_create_player","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","153","test_dashboard_top_scorer_positive_goals","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","22","test_list_players","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","289","test_dashboard_multiple_simulations","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","179","test_simulator_run_partial_teams_generates_rest","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","240","test_simulator_run_some_teams_have_players","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","152","test_simulator_run_empty_db_autogenerates","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","158","test_dashboard_after_simulation_returns_200","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
"","3","test_player_abm_create_without_team","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","10","test_delete_team","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","18","test_list_players_by_team","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","231","test_simulator_run_teams_have_players","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","10","test_get_team","tests","2026-06-11","passed","2026-06-11","","test_teams","",""
"","174","test_simulator_run_third_place_not_finalists","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","146","test_simulator_run_group_even_distribution","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","8","test_create_player_invalid_position","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","142","test_simulator_run_standings_ordered_by_pts","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","17","test_update_player","tests","2026-06-11","passed","2026-06-11","","test_players","",""
"","217","test_simulator_run_returns_200","tests","2026-06-11","passed","2026-06-11","","test_simulator","",""
"","4","test_dashboard_no_simulation_returns_404","tests","2026-06-11","passed","2026-06-11","","test_dashboard","",""
